id,lat,lon,E,N,T_2020,T_2025,T_2030,T_2035,T_2040,T_2045,T_2050,T_2055,T_2060,T_2065,T_2070,T_2075,T_2080,T_2085,T_2090,T_2095,T_2100,P_2020,P_2025,P_2030,P_2035,P_2040,P_2045,P_2050,P_2055,P_2060,P_2065,P_2070,P_2075,P_2080,P_2085,P_2090,P_2095,P_2100
35.2_23.8,35.2,23.8,5583384.37162012,1462917.390423317,290.7493896484375,290.9479675292969,291.01226806640625,290.9018249511719,291.45648193359375,291.1148681640625,291.5285339355469,291.7261962890625,291.56842041015625,291.6129455566406,291.2857360839844,291.49505615234375,291.6690673828125,291.5804443359375,291.5705871582031,291.9514465332031,291.87823486328125,1.3779935216007289e-05,1.4950121112633497e-05,1.6220008546952158e-05,1.52745378727559e-05,1.1173458005941939e-05,1.456217432860285e-05,1.5817213352420367e-05,1.3477730135491583e-05,1.4355015082401223e-05,1.3593439689429943e-05,1.6479005353176035e-05,1.4140628081804607e-05,1.4662531611975282e-05,1.5344348867074586e-05,1.3485646377375815e-05,1.2642526598938275e-05,1.433248780813301e-05
35.2_24,35.2,24.0,5601456.538207041,1466215.4052128491,289.59857177734375,289.79486083984375,289.8335266113281,289.7415771484375,290.3857116699219,289.9250793457031,290.35491943359375,290.6216125488281,290.36700439453125,290.47308349609375,290.1763916015625,290.38128662109375,290.6041259765625,290.45721435546875,290.4614562988281,290.8489990234375,290.7089538574219,1.6639740351820365e-05,1.771227653080132e-05,1.8843762518372387e-05,1.8777256627799943e-05,1.3635965842695441e-05,1.7361031495966017e-05,1.9081464415648952e-05,1.648451689106878e-05,1.75273344211746e-05,1.5682191587984562e-05,2.0160721760476008e-05,1.7250151358894072e-05,1.7402819139533676e-05,1.853534922702238e-05,1.6158099242602475e-05,1.6344329196726903e-05,1.6856894944794476e-05
35.2_24.1,35.2,24.1,5610489.011804169,1467882.117824527,289.5189208984375,289.6816101074219,289.73553466796875,289.6510925292969,290.3021240234375,289.7934265136719,290.2348327636719,290.5070495605469,290.26171875,290.37908935546875,290.05047607421875,290.2710876464844,290.4913635253906,290.35650634765625,290.35113525390625,290.73199462890625,290.6054382324219,1.98994512174977e-05,2.0381034119054675e-05,2.174453402403742e-05,2.2825959604233503e-05,1.6118025087052956e-05,2.0158822735538706e-05,2.2439448002842255e-05,1.9766188415815122e-05,1.9387536667636596e-05,1.7994318113778718e-05,2.3182370568974875e-05,2.058179052255582e-05,1.9518411136232316e-05,2.079756995954085e-05,1.8941866073873825e-05,1.9893455828423612e-05,1.9231654732720926e-05
35.2_24.2,35.2,24.2,5619519.055824117,1469560.6321834454,289.9007873535156,290.0208435058594,290.117919921875,290.04388427734375,290.6651611328125,290.1595458984375,290.605224609375,290.8501892089844,290.6764221191406,290.763916015625,290.402099609375,290.60687255859375,290.8158874511719,290.6977844238281,290.6788330078125,291.0638122558594,290.9604797363281,1.679705201240722e-05,1.6553343812120147e-05,1.7631560695008375e-05,1.872895700216759e-05,1.315745339525165e-05,1.6785528714535758e-05,1.9067447283305228e-05,1.667501601332333e-05,1.526596133771818e-05,1.4447988178289961e-05,1.9033479475183412e-05,1.716402948659379e-05,1.6144500477821566e-05,1.6728610717109405e-05,1.5490473742829636e-05,1.6857888113008812e-05,1.5285046174540184e-05
35.2_24.4,35.2,24.4,5637571.785780164,1472953.0608926795,290.4210205078125,290.4543151855469,290.60205078125,290.5483703613281,291.0860900878906,290.6463623046875,291.06396484375,291.28790283203125,291.2086486816406,291.23760986328125,290.8519287109375,291.00439453125,291.2074890136719,291.0975341796875,291.09442138671875,291.4682312011719,291.39447021484375,1.3332097296370193e-05,1.3582132851297501e-05,1.414496455254266e-05,1.5030158465378918e-05,1.034529213939095e-05,1.3791430319542997e-05,1.607798731129151e-05,1.3427915291686077e-05,1.140825952461455e-05,1.1751690180972219e-05,1.4850211300654337e-05,1.3768454664386809e-05,1.3295959433889948e-05,1.3158996807760559e-05,1.1286248081887607e-05,1.3689553270523902e-05,1.2206818610138725e-05
35.2_24.5,35.2,24.5,5646594.437034453,1474666.972593536,289.9727783203125,289.9783020019531,290.1158447265625,290.05712890625,290.5948181152344,290.1586608886719,290.5735778808594,290.8307800292969,290.7128601074219,290.7269592285156,290.36712646484375,290.5086669921875,290.7186584472656,290.5920715332031,290.6091003417969,290.9714660644531,290.8719177246094,1.8820875993696973e-05,1.9924253138015047e-05,2.1942227249382995e-05,2.2023657948011532e-05,1.4981135791458655e-05,1.9818002328975126e-05,2.2052185158827342e-05,1.895606874313671e-05,1.678763328527566e-05,1.8198974430561066e-05,2.0734438294311985e-05,1.9361476006451994e-05,1.8549171727499925e-05,1.875817724794615e-05,1.5816991435713135e-05,1.942265771504026e-05,1.8089338482241146e-05
35.2_24.6,35.2,24.6,5655614.589347914,1476392.6807426964,288.9924621582031,289.0178527832031,289.1405029296875,289.06927490234375,289.6189880371094,289.1785583496094,289.6189880371094,289.8927001953125,289.70306396484375,289.7366027832031,289.4070739746094,289.5538635253906,289.75537109375,289.62200927734375,289.65386962890625,290.01715087890625,289.8821105957031,2.6519704988459125e-05,2.7929998395848088e-05,3.160103005939163e-05,3.07812042592559e-05,2.1256393665680662e-05,2.7876301828655414e-05,3.0062354198889807e-05,2.7085568945039995e-05,2.486920857336372e-05,2.710996886889916e-05,2.923713873315137e-05,2.7122647225041874e-05,2.589289033494424e-05,2.6654161047190428e-05,2.207721809099894e-05,2.665488500497304e-05,2.555420360295102e-05
35.1_24.7,35.1,24.7,5666456.642981351,1467278.4122783556,290.14007568359375,290.2396240234375,290.3470153808594,290.23101806640625,290.78692626953125,290.3852844238281,290.83685302734375,291.0536804199219,290.8547058105469,290.9305114746094,290.5831604003906,290.8092041015625,290.9857482910156,290.8705749511719,290.8560485839844,291.2508544921875,291.16241455078125,1.7426609701942652e-05,1.8650884157977998e-05,2.0617409973056056e-05,1.9634289856185205e-05,1.3430667422653642e-05,1.8691291188588366e-05,1.9841592802549712e-05,1.744429573591333e-05,1.7271766409976408e-05,1.8905073375208303e-05,1.931138467625715e-05,1.772302493918687e-05,1.764241824275814e-05,1.8807651940733194e-05,1.5310311937355436e-05,1.7460082744946703e-05,1.693292142590508e-05
35.1_24.9,35.1,24.9,5684509.01155252,1470792.2768972137,289.2168273925781,289.3373718261719,289.4385681152344,289.3282775878906,289.9611511230469,289.44549560546875,289.9224548339844,290.193359375,289.94635009765625,290.0113830566406,289.7035827636719,289.9343566894531,290.14898681640625,290.0140380859375,289.991455078125,290.4093322753906,290.26519775390625,1.978347063413821e-05,2.010665957641322e-05,2.2333906599669717e-05,2.2090074708103202e-05,1.546950443298556e-05,1.969887853192631e-05,2.1608466340694577e-05,1.9848657757393084e-05,1.915387656481471e-05,2.1818032109877095e-05,2.178041177103296e-05,1.9677227101055905e-05,1.786473330867011e-05,1.8875922251027077e-05,1.691423312877305e-05,1.9351564333192073e-05,1.8034257664112374e-05
35.1_25,35.1,25.0,5693531.350350346,1472566.914301025,289.7113037109375,289.76312255859375,289.9088134765625,289.8327331542969,290.4528503417969,289.92999267578125,290.36541748046875,290.6587219238281,290.4529113769531,290.494873046875,290.150146484375,290.3576354980469,290.6031799316406,290.4602966308594,290.4531555175781,290.849853515625,290.7388610839844,1.3154562111594714e-05,1.4352241123560816e-05,1.4154432392388117e-05,1.4825413927610498e-05,1.0582968570815865e-05,1.3612975635624025e-05,1.4904920135450084e-05,1.428223549737595e-05,1.2495396731537767e-05,1.5135205103433691e-05,1.504329247836722e-05,1.3681978998647537e-05,1.224818879563827e-05,1.2629880984604824e-05,1.1383614946680609e-05,1.3403834600467235e-05,1.1555314813449513e-05
